id_beneficiaire,nom,sexe,age,region,province,statut,taille_menage,type_aide,montant_fcfa,nb_distributions,score_vulnerabilite,mois
416,Ibrahim Ouedraogo,Masculin,51.0,Centre,Oubritenga,Réfugié,3,Aide alimentaire,49454.0,1,67,5
2233,Fatoumata Dabre,Féminin,50.0,Est,Gourma,Déplacé interne,9,Aide alimentaire,54089.0,5,88,8
1150,Clarisse Sawadogo,Féminin,54.0,Centre,Ganzourgou,Déplacé interne,9,Aide alimentaire,43194.0,7,70,2
1114,Mariam Nana,Féminin,38.0,Boucle du Mouhoun,Nayala,Retourné,11,Kit de survie,88403.0,5,66,7
1226,Clarisse Traore,Féminin,41.0,Nord,Zondoma,Réfugié,8,Soutien médical,32674.0,1,79,6
355,Rasmane Kabore,Masculin,72.0,Sahel,Séno,Réfugié,5,Kit de survie,104636.0,2,100,4
966,Seydou Zongo,Masculin,51.0,Sahel,Oudalan,Déplacé interne,4,Aide alimentaire,52205.0,3,73,5
1855,Aminata Nana,Féminin,27.0,Sahel,Séno,Déplacé interne,4,Aide alimentaire,47775.0,6,83,1
528,Boureima Traore,Masculin,56.0,Sahel,Oudalan,Déplacé interne,4,Kit de survie,-1000.0,6,73,10
2092,Clarisse Ouedraogo,Féminin,72.0,Centre,Kadiogo,Déplacé interne,3,Kit de survie,97292.0,2,84,7
2186,Maimouna Diallo,Féminin,59.0,Centre,Oubritenga,Communauté hôte,10,Kit de survie,72822.0,7,57,11
1081,Haoua Diallo,Féminin,46.0,Sahel,Soum,Réfugié,10,Kit de survie,69332.0,5,99,7
1792,Safi Tapsoba,Féminin,50.0,Centre,Oubritenga,Déplacé interne,9,Abri d'urgence,158653.0,2,71,6
325,Fatima Kone,Féminin,42.0,Est,Gourma,Retourné,9,Kit de survie,66498.0,4,78,4
678,Rasmane Kone,Masculin,31.0,Sahel,Soum,Communauté hôte,9,Soutien médical,23035.0,4,67,6
2298,Hamidou Bambara,Masculin,62.0,Sahel,Soum,Retourné,9,Kit de survie,72590.0,5,96,11
2356,Boureima Sawadogo,Masculin,53.0,Sahel,Soum,Réfugié,11,Soutien médical,35318.0,1,86,7
795,Yacouba Tapsoba,Masculin,67.0,Sahel,Oudalan,Retourné,5,Aide alimentaire,53317.0,3,91,4
1365,Clarisse Ouedraogo,Féminin,72.0,Est,Gourma,Déplacé interne,11,Aide alimentaire,54155.0,7,95,12
403,Safi Zongo,Féminin,27.0,Centre,Kadiogo,Réfugié,1,Soutien médical,35321.0,4,51,10
938,Zeinabou Zongo,Féminin,74.0,Nord,Loroum,Déplacé interne,2,Soutien médical,32023.0,5,74,5
1996,Binta Tapsoba,Féminin,50.0,Sahel,Séno,Réfugié,4,Aide alimentaire,55026.0,4,81,12
533,Aminata Ouedraogo,Féminin,43.0,Centre,Kadiogo,Retourné,8,Soutien médical,38728.0,6,58,6
1180,Maimouna Ilboudo,Féminin,66.0,Sahel,Séno,Déplacé interne,9,Kit de survie,72866.0,6,100,12
812,Aissata Dabre,Féminin,45.0,Centre,Oubritenga,Déplacé interne,9,Aide alimentaire,54656.0,7,76,3
2458,Aissata Dabre,Féminin,34.0,Sahel,Soum,Communauté hôte,9,Aide alimentaire,46914.0,3,69,11
2160,Fatima Dabre,Féminin,28.0,Est,Gnagna,Déplacé interne,7,Aide alimentaire,44439.0,6,86,1
1671,Moussa Sawadogo,Masculin,44.0,Boucle du Mouhoun,Banwa,Communauté hôte,11,Kit de survie,59611.0,6,54,10
534,Salamata Dabre,Féminin,70.0,Centre,Ganzourgou,Retourné,8,Soutien médical,32001.0,2,78,4
1190,Kadiatou Toe,Féminin,57.0,Nord,Zondoma,Déplacé interne,4,Soutien médical,17119.0,7,62,6
842,Assita Kone,Féminin,34.0,Boucle du Mouhoun,Mouhoun,Déplacé interne,8,Soutien médical,39135.0,3,67,3
1930,Adama Kabore,Masculin,22.0,Centre,Kadiogo,Communauté hôte,2,Soutien médical,25371.0,6,37,11
2656,Mamadou Nana,Masculin,22.0,Centre,Oubritenga,Réfugié,5,Kit de survie,79008.0,1,78,1
749,Aminata Ilboudo,Féminin,61.0,Sahel,Séno,Déplacé interne,3,Aide alimentaire,32626.0,6,92,6
2373,Fatoumata Coulibaly,Féminin,35.0,Centre,Ganzourgou,Réfugié,1,Aide alimentaire,49344.0,6,52,6
766,Assita Nana,Féminin,59.0,Est,Tapoa,Retourné,11,Kit de survie,63985.0,1,69,6
142,Adama Ilboudo,Masculin,61.0,Est,Gourma,Réfugié,7,Aide alimentaire,25516.0,5,100,10
1018,Binta Ouedraogo,Féminin,36.0,Nord,Loroum,Déplacé interne,3,Soutien médical,38089.0,4,55,3
1207,Aminata Traore,Féminin,59.0,Sahel,Oudalan,Déplacé interne,7,Kit de survie,98653.0,2,90,9
2571,Abdoul Zongo,Masculin,69.0,Sahel,Soum,Réfugié,2,Soutien médical,40760.0,7,94,11
1588,Issouf Traore,Masculin,70.0,Centre,Oubritenga,Réfugié,9,Soutien médical,34411.0,2,91,10
2681,Moussa Nana,Masculin,20.0,Nord,Loroum,Déplacé interne,10,Aide alimentaire,52912.0,1,82,10
2051,Seydou Bambara,Masculin,33.0,Boucle du Mouhoun,Banwa,Réfugié,1,Aide alimentaire,,2,45,6
2484,Boureima Kone,Masculin,26.0,Nord,Yatenga,Déplacé interne,11,Kit de survie,68831.0,1,72,10
945,Abdoul Diallo,Masculin,56.0,Centre,Oubritenga,Retourné,8,Aide alimentaire,69254.0,4,56,5
820,Drissa Coulibaly,Masculin,59.0,Centre,Ganzourgou,Déplacé interne,5,Aide alimentaire,30802.0,4,62,3
1560,Rokia Kone,Féminin,29.0,Centre,Ganzourgou,Communauté hôte,6,Abri d'urgence,133183.0,6,49,3
2583,Kadiatou Coulibaly,Féminin,65.0,Sahel,Oudalan,Déplacé interne,11,Abri d'urgence,140437.0,5,100,9
1457,Safi Coulibaly,Féminin,52.0,Boucle du Mouhoun,Nayala,Déplacé interne,9,Aide alimentaire,47576.0,6,79,3
